Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Snow Fall,2,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),Dane County Regional Airport (Truax Field),373,153,Sun Country Airlines
Sunny,36,Antonio B. Won Pat International Airport,California Redwood Coast - Humboldt County Airport,815,333,Alaska Airlines
Snow Fall,0,Ford Airport,Phoenix - Mesa Gateway Airport (formerly Williams AFB),325,190,Air Wisconsin
Windy,25,Palm Springs International Airport,Rapid City Regional Airport,621,370,Avelo Airlines
Sunny,38,Wrangell Airport (also see Wrangell Seaplane Base),Louis Armstrong New Orleans International Airport,844,302,Delta Air Lines
Sunny,37,Muskegon County Airport,Wichita Falls Municipal Airport / Sheppard Air Force Base,412,171,Horizon Air
Windy,20,Antonio B. Won Pat International Airport,Antonio Rivera Rodríguez Airport,873,202,Mesa Airlines
Cloudy,32,Greenville - Spartanburg International Airport (Roger Milliken Field),San Diego International Airport (Lindbergh Field),709,365,Piedmont Airlines
Rainy,27,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),José Aponte de la Torre Airport,346,190,United Airlines
Snow Fall,-2,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),Pitt - Greenville Airport,782,279,Silver Airways
Sunny,35,Raleigh - Durham International Airport,Greenbrier Valley Airport,978,319,Eastern Airlines
Cloudy,34,Garden City Regional Airport,Charlottesville - Albemarle Airport,770,226,American Airlines
Windy,17,Ogdensburg International Airport,Charlottesville - Albemarle Airport,512,299,Breeze Airways
Cloudy,34,Gulfport - Biloxi International Airport,Norman Y. Mineta San José International Airport,321,104,United Airlines
Snow Fall,-2,Frederick Douglass/Greater Rochester International Airport,Cleveland Hopkins International Airport,914,230,JetBlue
Sunny,39,Tallahassee International Airport,Pierre Regional Airport,888,394,Allegiant Air
Rainy,26,Elmira/Corning Regional Airport,Laramie Regional Airport,831,354,Eastern Airlines
Windy,17,Minot International Airport,Tweed-New Haven Airport,463,158,Elite Airways
Snow Fall,1,Friedman Memorial Airport,Hilo International Airport,771,384,Allegiant Air
Snow Fall,1,San Luis Obispo County Regional Airport (McChesney Field),San Antonio International Airport,928,264,Elite Airways
Cloudy,34,Buffalo Niagara International Airport,New York Stewart International Airport,778,223,Piedmont Airlines
Sunny,36,Bismarck Municipal Airport,Brunswick Golden Isles Airport,912,254,Republic Airways
Windy,18,Bangor International Airport,Canyonlands Regional Airport,471,144,Eastern Airlines
Snow Fall,-3,Frederick Douglass/Greater Rochester International Airport,Muskegon County Airport,491,145,Delta Air Lines
Sunny,38,Wilmington International Airport,Pierre Regional Airport,581,220,GoJet Airlines
Sunny,35,Bishop International Airport,Valdosta Regional Airport,974,400,Alaska Airlines
Rainy,29,Quad City International Airport,Friday Harbor Airport,762,263,Horizon Air
Rainy,26,Concord-Padgett Regional Airport,Provo Municipal Airport,429,199,Air Wisconsin
Cloudy,31,Lake Charles Regional Airport,McAllen Miller International Airport,955,261,Piedmont Airlines
Rainy,30,Tyler Pounds Regional Airport,Gillette - Campbell County Airport,511,274,Avelo Airlines
Windy,20,Dothan Regional Airport,Kansas City International Airport (was Mid-Continent International),916,304,Eastern Airlines
Sunny,37,Sawyer International Airport,Canyonlands Regional Airport,327,193,CommutAir
Rainy,29,Florence Regional Airport,Waco Regional Airport,915,322,American Airlines
Snow Fall,-9,Augusta Regional Airport (Bush Field),Rhode Island T. F. Green International Airport,970,348,Southwest Airlines
Cloudy,30,Central Wyoming Regional Airport (was Riverton Regional),Ralph Wien Memorial Airport,709,379,Eastern Airlines
Rainy,30,Gerald R. Ford International Airport,Alpena County Regional Airport,618,219,Spirit Airlines
Rainy,27,Boulder City Municipal Airport,Augusta Regional Airport (Bush Field),913,391,Republic Airways
Cloudy,31,Idaho Falls Regional Airport (Fanning Field),Hector International Airport,690,301,Allegiant Air
Rainy,25,Joe Foss Field,Chippewa County International Airport,546,200,United Airlines
Rainy,28,Kearney Regional Airport (was Kearney Municipal),Provo Municipal Airport,880,338,Envoy Air
Rainy,28,Savannah/Hilton Head International Airport,Watertown Regional Airport,967,265,Spirit Airlines
Cloudy,31,New York Stewart International Airport,Boise Airport (Boise Air Terminal) (Gowen Field),478,147,Allegiant Air
Cloudy,33,Kearney Regional Airport (was Kearney Municipal),Northwest Arkansas National Airport,427,156,United Airlines
Rainy,29,St. Pete - Clearwater International Airport,Fairbanks International Airport,433,164,Contour Airlines
Windy,15,Ted Stevens Anchorage International Airport,Valdosta Regional Airport,688,259,Republic Airways
Windy,17,Wichita Falls Municipal Airport / Sheppard Air Force Base,Dickinson Theodore Roosevelt Regional Airport,569,321,American Airlines
Windy,25,Spokane International Airport (Geiger Field),El Paso International Airport,946,350,United Airlines
Rainy,25,Meadows Field,Tri-Cities Airport,836,244,Elite Airways
Sunny,37,King Salmon Airport,Charles M. Schulz - Sonoma County Airport,637,346,Eastern Airlines
Rainy,30,Ogdensburg International Airport,Bethel Airport (also see Bethel Seaplane Base),378,160,Mesa Airlines
Rainy,27,Lincoln Airport (was Lincoln Municipal),Dubuque Regional Airport,907,342,Contour Airlines
Sunny,35,Yellowstone Regional Airport,Rapid City Regional Airport,499,170,Spirit Airlines
Sunny,36,Eagle County Regional Airport,Milwaukee Mitchell International Airport,359,128,Southwest Airlines
Snow Fall,-6,Hilton Head Airport,Tri-Cities Airport,632,206,Endeavor Air
Rainy,29,Rochester International Airport,Walla Walla Regional Airport,884,312,Piedmont Airlines
Snow Fall,-2,Indianapolis International Airport,Alexandria International Airport,739,260,Sun Country Airlines
Snow Fall,3,Alexandria International Airport,Stillwater Regional Airport,462,182,Republic Airways
Rainy,28,Prescott Municipal Airport (Ernest A. Love Field),St. Pete - Clearwater International Airport,303,152,Silver Airways
Rainy,30,Salisbury - Ocean City - Wicomico Regional Airport,Monroe Regional Airport,958,367,Air Wisconsin
Windy,18,Tampa International Airport,Wilmington International Airport,975,254,Eastern Airlines
Rainy,27,San Luis Obispo County Regional Airport (McChesney Field),Bellingham International Airport,486,168,Avelo Airlines
Rainy,29,Tinian International Airport (West Tinian),Tri-Cities Airport,620,351,CommutAir
Snow Fall,-3,St. Pete - Clearwater International Airport,University of Illinois - Willard Airport,996,243,Southwest Airlines
Snow Fall,1,Elmira/Corning Regional Airport,MidAmerica St. Louis Airport / Scott Air Force Base,691,291,Eastern Airlines
Cloudy,30,Nantucket Memorial Airport,Santa Fe Municipal Airport,722,352,Southwest Airlines
Snow Fall,1,Missoula Montana Airport (was Missoula International Airport),Glacier Park International Airport,401,172,Republic Airways
Cloudy,35,Reno/Tahoe International Airport,Phoenix Sky Harbor International Airport,673,223,Air Wisconsin
Snow Fall,1,Bellingham International Airport,Canyonlands Regional Airport,432,149,PSA Airlines
Rainy,29,Portland International Airport,Bemidji Regional Airport,716,310,Frontier Airlines
Sunny,36,Greenbrier Valley Airport,Williston Basin International Airport,978,253,Mesa Airlines
Rainy,27,Mobile Regional Airport,Waterloo Regional Airport,878,375,United Airlines
Snow Fall,-4,Sacramento International Airport,Daniel K. Inouye International Airport,906,371,Silver Airways
Snow Fall,-7,Milwaukee Mitchell International Airport,Frederick Douglass/Greater Rochester International Airport,902,341,Southwest Airlines
Snow Fall,-4,Nashville International Airport (Berry Field),Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),400,174,Hawaiian Airlines
Cloudy,30,Frederick Douglass/Greater Rochester International Airport,Green Bay - Austin Straubel International Airport,607,396,Republic Airways
Sunny,38,Benjamín Rivera Noriega Airport,Lafayette Regional Airport (Paul Fournet Field),626,356,Sun Country Airlines
Windy,16,Stockton Metropolitan Airport,Norfolk International Airport,423,190,Allegiant Air
Snow Fall,-7,Muskegon County Airport,Redding Municipal Airport,508,204,Piedmont Airlines
Snow Fall,-4,Gunnison - Crested Butte Regional Airport,Salisbury - Ocean City - Wicomico Regional Airport,855,268,Silver Airways
Windy,16,Florence Regional Airport,MidAmerica St. Louis Airport / Scott Air Force Base,438,149,American Airlines
Windy,19,Harrisburg International Airport,Hagerstown Regional Airport (Richard A. Henson Field),554,221,JetBlue
Windy,16,Durango - La Plata County Airport,Grand Junction Regional Airport (Walker Field),614,283,Eastern Airlines
Sunny,37,North Central West Virginia Airport (was Harrison-Marion Regional),San Luis Valley Regional Airport (Bergman Field),429,184,JetBlue
Windy,23,Kearney Regional Airport (was Kearney Municipal),Arnold Palmer Regional Airport,670,311,Air Wisconsin
Windy,25,Tyler Pounds Regional Airport,Hartsfield - Jackson Atlanta International Airport,589,317,Piedmont Airlines
Rainy,29,Tinian International Airport (West Tinian),Abraham Lincoln Capital Airport,437,103,Sun Country Airlines
Sunny,39,Orcas Island Airport,Antonio Rivera Rodríguez Airport,493,137,Air Wisconsin
Cloudy,33,Dickinson Theodore Roosevelt Regional Airport,Sarasota - Bradenton International Airport,585,355,Envoy Air
Windy,22,Greenbrier Valley Airport,Tri-State Airport (Milton J. Ferguson Field),607,292,Piedmont Airlines
Snow Fall,-7,Westchester County Airport,Manchester - Boston Regional Airport,1000,366,Delta Air Lines
Snow Fall,2,Phoenix Sky Harbor International Airport,Del Rio International Airport,853,315,Endeavor Air
Cloudy,35,Dallas Fort Worth International Airport,Knox County Regional Airport,414,160,PSA Airlines
Snow Fall,-3,Ketchikan International Airport,Appleton International Airport,906,253,Piedmont Airlines
Rainy,29,Kearney Regional Airport (was Kearney Municipal),Magic Valley Regional Airport (Joslin Field),810,279,Spirit Airlines
Snow Fall,-3,Montrose Regional Airport,Merrill Field,589,230,Alaska Airlines
Cloudy,33,Luis Muñoz Marín International Airport,Yeager Airport,780,394,Eastern Airlines
Sunny,38,Denver International Airport,Redding Municipal Airport,838,369,Envoy Air
Snow Fall,3,Pierre Regional Airport,Cyril E. King Airport,799,358,JetBlue
Snow Fall,3,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Brownsville/South Padre Island International Airport,670,304,Allegiant Air
Snow Fall,0,Bangor International Airport,Concord-Padgett Regional Airport,722,334,Delta Air Lines
Sunny,37,Mahlon Sweet Field,San Antonio International Airport,401,143,Mesa Airlines
Sunny,35,Montgomery Regional Airport (Dannelly Field),Yellowstone Regional Airport,701,392,PSA Airlines
Cloudy,35,Salina Regional Airport,Melbourne Orlando International Airport,530,347,Contour Airlines
Cloudy,34,Sioux Gateway Airport (Brig. General Bud Day Field),Hagerstown Regional Airport (Richard A. Henson Field),954,220,Spirit Airlines
Cloudy,30,Pittsburgh International Airport,Central Illinois Regional Airport at Bloomington-Normal,389,148,Alaska Airlines
Rainy,30,Yuma International Airport / MCAS Yuma,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),904,295,Sun Country Airlines
Cloudy,31,Southwest Oregon Regional Airport (was North Bend Municipal),King County International Airport (Boeing Field),551,209,Allegiant Air
Snow Fall,-3,Pierre Regional Airport,Charlottesville - Albemarle Airport,403,133,Horizon Air
Sunny,35,Gerald R. Ford International Airport,Palm Springs International Airport,881,350,Contour Airlines
Cloudy,35,General Downing-Peoria International Airport,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),604,395,Frontier Airlines
Cloudy,35,Hilo International Airport,Jackson - Medgar Wiley Evers International Airport,963,365,Horizon Air
Rainy,29,Idaho Falls Regional Airport (Fanning Field),Lawton - Fort Sill Regional Airport,575,280,Delta Air Lines
Windy,20,Tri-State Airport (Milton J. Ferguson Field),Harry Reid International Airport,555,392,CommutAir
Windy,20,Waynesville-St. Robert Regional Airport (Forney Field),Destin - Fort Walton Beach Airport / Eglin Air Force Base,520,253,Breeze Airways
Cloudy,30,Ithaca Tompkins International Airport,Nashville International Airport (Berry Field),871,281,CommutAir
Windy,17,Albert J. Ellis Airport,Yakima Air Terminal (McAllister Field),899,380,CommutAir
Rainy,28,San Antonio International Airport,Branson Airport,621,222,Delta Air Lines
Rainy,25,Coastal Carolina Regional Airport (was Craven County Regional),Southwest Oregon Regional Airport (was North Bend Municipal),348,179,Air Wisconsin
Cloudy,31,Sioux Gateway Airport (Brig. General Bud Day Field),Lubbock Preston Smith International Airport,393,136,Cape Air
Sunny,37,Albany International Airport,Westerly State Airport,433,195,Silver Airways
Cloudy,31,Manhattan Regional Airport,Ted Stevens Anchorage International Airport,311,134,Southwest Airlines
Sunny,35,Bellingham International Airport,James M. Cox Dayton International Airport,852,265,United Airlines
Windy,21,San Angelo Regional Airport (Mathis Field),Tulsa International Airport,324,198,Republic Airways
Sunny,38,Long Island MacArthur Airport,Yuma International Airport / MCAS Yuma,511,277,Cape Air
Sunny,39,Jackson Hole Airport,Memphis International Airport,815,239,Piedmont Airlines
Snow Fall,-5,Petersburg James A. Johnson Airport,Santa Fe Municipal Airport,321,122,SkyWest Airlines
Sunny,37,Henry E. Rohlsen Airport,Monroe Regional Airport,597,267,Sun Country Airlines
Windy,24,Fort Lauderdale - Hollywood International Airport,Helena Regional Airport,316,180,Alaska Airlines
Cloudy,31,Santa Fe Municipal Airport,Branson Airport,856,227,Southwest Airlines
Snow Fall,-2,South Bend International Airport,New York Stewart International Airport,417,183,JetBlue
Cloudy,34,Lynchburg Regional Airport (Preston Glenn Field),Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),902,317,United Airlines
Windy,24,Luis Muñoz Marín International Airport,Jamestown Regional Airport,540,224,Endeavor Air
Snow Fall,-4,Dickinson Theodore Roosevelt Regional Airport,Santa Barbara Municipal Airport (Santa Barbara Airport),653,249,Horizon Air
Cloudy,34,Wrangell Airport (also see Wrangell Seaplane Base),James M. Cox Dayton International Airport,648,381,Hawaiian Airlines
Snow Fall,-7,Sarasota - Bradenton International Airport,Westchester County Airport,421,116,Hawaiian Airlines
Sunny,37,Yuma International Airport / MCAS Yuma,Page Municipal Airport,459,105,Envoy Air
Windy,15,McAllen Miller International Airport,Long Beach Airport (Daugherty Field),746,380,American Airlines
Cloudy,30,Myrtle Beach International Airport,Des Moines International Airport,557,324,JetBlue
Cloudy,34,Joe Foss Field,Boise Airport (Boise Air Terminal) (Gowen Field),327,118,American Airlines
Snow Fall,0,Concord-Padgett Regional Airport,Pitt - Greenville Airport,981,207,Frontier Airlines
Cloudy,30,Minot International Airport,St. Cloud Regional Airport,586,233,Piedmont Airlines
Windy,20,Daytona Beach International Airport,Akron-Canton Regional Airport,379,154,Eastern Airlines
Cloudy,35,Washington Dulles International Airport,Tweed-New Haven Airport,322,184,Air Wisconsin
Cloudy,33,San Angelo Regional Airport (Mathis Field),Bangor International Airport,790,323,Silver Airways
Rainy,30,Rick Husband Amarillo International Airport,Montgomery Regional Airport (Dannelly Field),791,200,Breeze Airways
Windy,15,Knox County Regional Airport,Wilmington Airport,433,123,Frontier Airlines
Cloudy,33,Bemidji Regional Airport,Cape Cod Gateway Airport (Boardman/Polando Field),974,246,United Airlines
Cloudy,35,Friday Harbor Airport,Williston Basin International Airport,380,112,Air Wisconsin
Snow Fall,0,King County International Airport (Boeing Field),Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),688,327,Horizon Air
Rainy,30,Valdosta Regional Airport,Ford Airport,746,329,Air Wisconsin
Windy,17,Redding Municipal Airport,Greenbrier Valley Airport,687,295,United Airlines
Windy,19,Aspen/Pitkin County Airport (Sardy Field),Harry Reid International Airport,804,244,Silver Airways
Windy,16,Manchester - Boston Regional Airport,Chicago O'Hare International Airport,809,325,American Airlines
Rainy,25,Los Angeles International Airport,Reno/Tahoe International Airport,976,219,JetBlue
Windy,24,Detroit Metro Wayne County Airport,Gunnison - Crested Butte Regional Airport,602,388,Hawaiian Airlines
Rainy,27,Buffalo Niagara International Airport,Concord-Padgett Regional Airport,761,222,Allegiant Air
Sunny,36,Brownsville/South Padre Island International Airport,Kodiak Airport (Benny Benson State Airport),495,116,CommutAir
Snow Fall,-9,Jamestown Regional Airport,Muskegon County Airport,400,173,Horizon Air
Snow Fall,1,Lanai Airport,Salisbury - Ocean City - Wicomico Regional Airport,608,215,Southwest Airlines
Rainy,29,Watertown International Airport,San Luis Obispo County Regional Airport (McChesney Field),859,372,Contour Airlines
Sunny,39,Spokane International Airport (Geiger Field),Norfolk International Airport,961,234,Republic Airways
Sunny,38,San Luis Obispo County Regional Airport (McChesney Field),Pitt - Greenville Airport,791,284,Eastern Airlines
Windy,19,Charlotte Douglas International Airport,Ted Stevens Anchorage International Airport,695,261,Frontier Airlines
Cloudy,31,Greenbrier Valley Airport,Deadhorse Airport (Prudhoe Bay Airport),999,348,United Airlines
Rainy,27,Molokai Airport (Hoolehua Airport),Benjamín Rivera Noriega Airport,361,135,Avelo Airlines
Sunny,35,Owensboro - Daviess County Regional Airport,Appleton International Airport,682,336,Elite Airways
Cloudy,30,Gulfport - Biloxi International Airport,Burlington International Airport,644,389,Allegiant Air
Rainy,26,Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),Roswell Air Center,752,296,PSA Airlines
Cloudy,30,Hector International Airport,Barkley Regional Airport,624,235,Piedmont Airlines
Sunny,35,Roanoke - Blacksburg Regional Airport (Woodrum Field),Quad City International Airport,590,374,Alaska Airlines
Cloudy,31,Ted Stevens Anchorage International Airport,Flagstaff Pulliam Airport,929,250,American Airlines
Windy,20,Arnold Palmer Regional Airport,Dallas Love Field,575,206,Breeze Airways
Rainy,25,Tupelo Regional Airport (C.D. Lemons Field),St. Pete - Clearwater International Airport,559,200,Breeze Airways
Rainy,25,Santa Maria Public Airport (Capt G. Allan Hancock Field),Palm Beach International Airport,453,156,PSA Airlines
Sunny,36,Shreveport Regional Airport,Muskegon County Airport,381,151,Eastern Airlines
Sunny,37,Grand Forks International Airport,Prescott Municipal Airport (Ernest A. Love Field),638,254,Elite Airways
Sunny,35,Destin - Fort Walton Beach Airport / Eglin Air Force Base,Brownsville/South Padre Island International Airport,510,321,Frontier Airlines
Cloudy,33,Tupelo Regional Airport (C.D. Lemons Field),Gustavus Airport,701,252,Allegiant Air
Cloudy,31,Tri-State Airport (Milton J. Ferguson Field),Cleveland Hopkins International Airport,620,364,Contour Airlines
Sunny,39,Ketchikan International Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),534,343,Piedmont Airlines
Windy,15,Tucson International Airport,Magic Valley Regional Airport (Joslin Field),760,242,Spirit Airlines
Cloudy,34,Roswell Air Center,Springfield - Branson National Airport,413,125,Air Wisconsin
Rainy,30,Branson Airport,MidAmerica St. Louis Airport / Scott Air Force Base,488,171,United Airlines
Sunny,37,Bozeman Yellowstone International Airport (was Gallatin Field),Bemidji Regional Airport,806,330,Delta Air Lines
Cloudy,34,Des Moines International Airport,Brainerd Lakes Regional Airport,942,334,Endeavor Air
Sunny,35,Fort Lauderdale - Hollywood International Airport,Midland International Air and Space Port,422,171,American Airlines
Sunny,38,Fresno Yosemite International Airport,Del Rio International Airport,554,322,Republic Airways
Rainy,27,Columbia Metropolitan Airport,Ontario International Airport,870,338,PSA Airlines
Windy,22,Atlantic City International Airport,Tupelo Regional Airport (C.D. Lemons Field),846,400,Air Wisconsin
Sunny,36,Redding Municipal Airport,Quad City International Airport,531,358,United Airlines
Snow Fall,-2,Western Nebraska Regional Airport (William B. Heilig Field),Aspen/Pitkin County Airport (Sardy Field),958,306,Horizon Air
Snow Fall,0,Minot International Airport,Kalamazoo/Battle Creek International Airport,329,173,Avelo Airlines
Cloudy,31,Charlotte Douglas International Airport,Friday Harbor Airport,836,257,Breeze Airways
Sunny,37,Waco Regional Airport,Birmingham - Shuttlesworth International Airport,853,326,Elite Airways
Sunny,37,East Texas Regional Airport,Stockton Metropolitan Airport,962,232,Eastern Airlines
Windy,23,Easterwood Field,Minneapolis - St. Paul International/Wold-Chamberlain Airport,646,398,Mesa Airlines
Cloudy,35,Billings Logan International Airport,Daytona Beach International Airport,516,324,Silver Airways
Snow Fall,-8,Corpus Christi International Airport,Washington Dulles International Airport,301,144,Hawaiian Airlines
Windy,19,Santa Maria Public Airport (Capt G. Allan Hancock Field),Hilton Head Airport,834,244,Frontier Airlines
Windy,22,Nome Airport,Central Nebraska Regional Airport,752,374,JetBlue
Snow Fall,-6,Sioux Gateway Airport (Brig. General Bud Day Field),Brunswick Golden Isles Airport,916,394,Delta Air Lines
Snow Fall,-7,Lea County Regional Airport,Daniel K. Inouye International Airport,970,311,Southwest Airlines
Rainy,29,MBS International Airport,Florence Regional Airport,511,209,Mesa Airlines
Windy,21,Bradley International Airport,Tucson International Airport,793,290,Avelo Airlines
Cloudy,35,Redding Municipal Airport,San Angelo Regional Airport (Mathis Field),780,221,CommutAir
Rainy,28,Presque Isle International Airport,Abilene Regional Airport,468,172,American Airlines
Sunny,36,Frederick Douglass/Greater Rochester International Airport,La Crosse Regional Airport,456,167,Envoy Air
Cloudy,32,Washington Dulles International Airport,Huntsville International Airport (Carl T. Jones Field),974,331,Republic Airways
Snow Fall,3,Homer Airport,Eugene F. Kranz Toledo Express Airport,354,165,Envoy Air
Snow Fall,1,Lihue Airport,Piedmont Triad International Airport,424,189,American Airlines
Sunny,39,Aspen/Pitkin County Airport (Sardy Field),Merle K. (Mudhole) Smith Airport,867,207,Eastern Airlines
Snow Fall,-2,Hilo International Airport,Tampa International Airport,698,206,Endeavor Air
Sunny,36,Indianapolis International Airport,Pellston Regional/Emmet County Airport,951,277,Cape Air
Cloudy,33,Provo Municipal Airport,Friedman Memorial Airport,410,176,American Airlines
Rainy,25,Augusta Regional Airport (Bush Field),Birmingham - Shuttlesworth International Airport,542,346,American Airlines
Snow Fall,-6,Jackson - Medgar Wiley Evers International Airport,Yuma International Airport / MCAS Yuma,687,371,Alaska Airlines
Windy,21,Hollywood Burbank Airport (was Bob Hope Airport),Portland International Jetport,354,170,SkyWest Airlines
Windy,18,Ford Airport,Hays Regional Airport,412,141,GoJet Airlines
Sunny,37,Bethel Airport (also see Bethel Seaplane Base),Montrose Regional Airport,684,304,Allegiant Air
Windy,23,Boulder City Municipal Airport,Montgomery Regional Airport (Dannelly Field),984,308,Elite Airways
Windy,21,Coastal Carolina Regional Airport (was Craven County Regional),Augusta Regional Airport (Bush Field),800,277,Sun Country Airlines
Cloudy,32,Grand Junction Regional Airport (Walker Field),Evansville Regional Airport,397,169,CommutAir
Sunny,37,Milwaukee Mitchell International Airport,Sitka Rocky Gutierrez Airport,997,317,Alaska Airlines
Rainy,29,Yellowstone Airport,Jacksonville International Airport,806,320,Envoy Air
Windy,25,Ted Stevens Anchorage International Airport,Stockton Metropolitan Airport,832,330,Republic Airways
Snow Fall,3,Mahlon Sweet Field,Cleveland Hopkins International Airport,527,288,Mesa Airlines
Cloudy,31,Blue Grass Airport,Tinian International Airport (West Tinian),589,223,American Airlines
Cloudy,32,Concord-Padgett Regional Airport,Palm Springs International Airport,327,106,Alaska Airlines
Windy,19,William P. Hobby Airport,Montrose Regional Airport,916,265,PSA Airlines
Windy,17,Huntsville International Airport (Carl T. Jones Field),Quad City International Airport,626,241,SkyWest Airlines
Windy,17,Lincoln Airport (was Lincoln Municipal),Sawyer International Airport,778,267,United Airlines
Cloudy,35,Salisbury - Ocean City - Wicomico Regional Airport,Southwest Florida International Airport,937,394,Delta Air Lines
Sunny,35,Piedmont Triad International Airport,Cape Cod Gateway Airport (Boardman/Polando Field),413,124,SkyWest Airlines
Sunny,36,Wiley Post - Will Rogers Memorial Airport,Jackson Hole Airport,648,215,Alaska Airlines
Windy,16,Tulsa International Airport,Branson Airport,353,177,Endeavor Air
Sunny,39,Lafayette Regional Airport (Paul Fournet Field),Branson Airport,593,310,Hawaiian Airlines
Rainy,26,Aberdeen Regional Airport,Houghton County Memorial Airport,537,246,United Airlines
Sunny,36,Jamestown Regional Airport,Memphis International Airport,766,338,Spirit Airlines
Sunny,35,Wilkes-Barre/Scranton International Airport,Midland International Air and Space Port,440,173,Allegiant Air
Rainy,25,Watertown International Airport,Prescott Municipal Airport (Ernest A. Love Field),989,298,American Airlines
Snow Fall,2,Grand Forks International Airport,Monterey Regional Airport (was Monterey Peninsula Airport),564,204,Sun Country Airlines
Windy,23,Tweed-New Haven Airport,Del Rio International Airport,777,380,Air Wisconsin
Cloudy,30,Billings Logan International Airport,Cherry Capital Airport (was Cherry County Airpark),850,347,United Airlines
Windy,18,Worcester Regional Airport,Phoenix Sky Harbor International Airport,304,181,Eastern Airlines
Snow Fall,1,Montgomery Regional Airport (Dannelly Field),Phoenix Sky Harbor International Airport,308,108,Elite Airways
Snow Fall,0,Augusta Regional Airport (Bush Field),McGhee Tyson Airport,997,332,SkyWest Airlines
Rainy,29,Golden Triangle Regional Airport,Orlando International Airport,626,227,Horizon Air
Rainy,29,Louis Armstrong New Orleans International Airport,Northwest Florida Beaches International Airport,514,365,Air Wisconsin
Sunny,36,Coastal Carolina Regional Airport (was Craven County Regional),McAllen Miller International Airport,490,148,United Airlines
Cloudy,30,Salisbury - Ocean City - Wicomico Regional Airport,Southwest Georgia Regional Airport,502,391,Mesa Airlines
Sunny,37,St. Louis Lambert International Airport,Sitka Rocky Gutierrez Airport,767,275,Republic Airways
Snow Fall,-7,Des Moines International Airport,Lafayette Regional Airport (Paul Fournet Field),482,151,Mesa Airlines
Cloudy,33,Piedmont Triad International Airport,Del Rio International Airport,992,346,Envoy Air
Windy,16,Raleigh - Durham International Airport,Del Rio International Airport,483,142,Hawaiian Airlines
Cloudy,34,Charles M. Schulz - Sonoma County Airport,Charleston International Airport / Charleston AFB,786,396,Endeavor Air
Cloudy,32,Roberts Field,Salt Lake City International Airport,701,212,Mesa Airlines
Windy,24,Harrisburg International Airport,Cedar City Regional Airport,523,338,United Airlines
Sunny,38,Gainesville Regional Airport,John F. Kennedy International Airport (was New York International Airport),659,285,Envoy Air
Snow Fall,-6,Gillette - Campbell County Airport,Prescott Municipal Airport (Ernest A. Love Field),318,130,Silver Airways
Sunny,35,Westerly State Airport,Kalamazoo/Battle Creek International Airport,944,233,Cape Air
Rainy,25,Gen. Edward Lawrence Logan International Airport,Ithaca Tompkins International Airport,579,325,Mesa Airlines
Rainy,25,Montrose Regional Airport,Muskegon County Airport,433,195,Cape Air
Windy,19,Page Municipal Airport,Los Angeles International Airport,994,207,Piedmont Airlines
Cloudy,30,Fresno Yosemite International Airport,Southwest Georgia Regional Airport,882,215,Avelo Airlines
Sunny,36,Fairbanks International Airport,Yakima Air Terminal (McAllister Field),475,111,Spirit Airlines
Windy,15,Ontario International Airport,Rickenbacker International Airport,352,159,Mesa Airlines
Snow Fall,-1,Hays Regional Airport,Lake Charles Regional Airport,567,363,Endeavor Air
Windy,19,Ford Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),730,368,Horizon Air
Cloudy,31,Detroit Metro Wayne County Airport,Hilton Head Airport,976,358,Frontier Airlines
Snow Fall,-9,Joplin Regional Airport,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,807,252,United Airlines
Snow Fall,1,Wilmington Airport,King County International Airport (Boeing Field),964,371,Sun Country Airlines
Rainy,26,Sacramento International Airport,Trenton Mercer Airport,931,283,Alaska Airlines
Snow Fall,-7,Jacksonville International Airport,Brainerd Lakes Regional Airport,425,105,Hawaiian Airlines
Cloudy,32,Joe Foss Field,Columbus Airport,310,110,Air Wisconsin
Snow Fall,-8,Alexandria International Airport,Joe Foss Field,756,386,Frontier Airlines
Rainy,27,Cedar City Regional Airport,Wilmington Airport,977,333,Delta Air Lines
Rainy,28,Harry Reid International Airport,Tri-Cities Airport,390,196,CommutAir
Rainy,25,Block Island State Airport,Rhode Island T. F. Green International Airport,329,163,PSA Airlines
Rainy,25,Page Municipal Airport,Watertown Regional Airport,652,377,Hawaiian Airlines
Windy,25,Idaho Falls Regional Airport (Fanning Field),Bangor International Airport,344,116,Hawaiian Airlines
Sunny,37,Lea County Regional Airport,Columbia Regional Airport,546,393,Allegiant Air
Sunny,39,Dothan Regional Airport,Mobile Regional Airport,475,178,Delta Air Lines
